Designator,Mid X,Mid Y,Layer,Rotation
"Buck1",109.100,-90.895,top,270.000
"C1",70.150,-64.537,top,270.000
"C2",96.100,-79.537,top,270.000
"C3",121.975,-94.487,top,270.000
"C4",96.025,-109.462,top,270.000
"C5",70.075,-124.462,top,270.000
"C6",77.200,-94.487,top,270.000
"D1",74.975,-65.400,top,180.000
"D2",100.925,-80.400,top,180.000
"D3",126.850,-95.375,top,180.000
"D4",100.900,-110.325,top,180.000
"D5",74.975,-125.325,top,180.000
"D6",81.850,-95.350,top,180.000
"J1",71.400,-98.830,top,90.000
"J2",85.326,-62.285,top,330.000
"J3",126.575,-86.120,top,150.000
"J4",64.100,-76.575,top,270.000
"J5",64.100,-114.190,top,90.000
"J6",126.550,-104.650,top,210.000
"J7",85.326,-128.440,top,30.000
